Date,Day,BB 22TB,BB 20TB,BB 18TB,BB 16TB,BB 14TB,BB 12TB,BB 8TB,BH 22TB,BH 20TB,BH 18TB,BH 16TB,BH 14TB,BH 12TB,BH 10TB,BH 8TB,BH 6TB,BH 4TB,NE 20TB,NE 18TB,NE 16TB,NE 14TB,NE 12TB,NE 10TB,NE 8TB,NE 6TB,NE 4TB
1/1/23,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/23,Monday,,429.99,319.99,289.99,239.99,229.99,149.99,,,,,,,,,,,,,,,,,,,
1/3/23,Tuesday,,429.99,319.99,289.99,239.99,229.99,149.99,,,,,,,,,,,,,,,,,,,
1/4/23,Wednesday,,429.99,319.99,289.99,239.99,229.99,149.99,,,,,,,,,,,,,,,,,,,
1/5/23,Monday,,429.99,319.99,289.99,239.99,229.99,149.99,,,,,,,,,,,,,,,,,,,
1/6/23,Friday,,429.99,299.99,289.99,209.99,229.99,139.99,,,,,,,,,,,,,,,,,,,
1/7/23,Saturday,,429.99,299.99,289.99,209.99,229.99,149.99,,,,,,,,,,,,,,,,,,,
1/8/23,Sunday,,429.99,299.99,289.99,209.99,229.99,149.99,,,,,,,,,,,,,,,,,,,
1/9/23,Monday,,429.99,319.99,289.99,239.99,229.99,149.99,,,,,,,,,,,,,,,,,,,
1/10/23,Tuesday,,429.99,319.99,289.99,239.99,229.99,149.99,,,,,,,,,,,,,,,,,,,
1/11/23,Wednesday,,429.99,319.99,289.99,239.99,229.99,149.99,,,,,,,,,,,,,,,,,,,
1/12/23,Thursday,,429.99,319.99,289.99,239.99,229.99,149.99,,,,,,,,,,,,,,,,,,,
1/13/23,Friday,,429.99,319.99,289.99,239.99,229.99,149.99,,,,,,,,,,,,,,,,,,,
1/14/23,Saturday,,429.99,319.99,274.99,239.99,229.99,149.99,,,,,,,,,,,,,,,,,,,
1/15/23,Sunday,,429.99,319.99,289.99,239.99,229.99,149.99,,,,,,,,,,,,,,,,,,,
1/16/23,Monday,,449.99,279.99,299.99,199.99,229.99,149.99,,,,,,,,,,,,,,,,,,,
1/17/23,Tuesday,,449.99,279.99,299.99,199.99,229.99,149.99,,,,,,,,,,,,,,,,,,,
1/18/23,Wednesday,,449.99,279.99,299.99,199.99,229.99,149.99,,,,,,,,,,,,,,,,,,,
1/19/23,Thursday,,449.99,279.99,299.99,199.99,229.99,149.99,,,,,,,,,,,,,,,,,,,
1/20/23,Friday,,449.99,329.99,299.99,239.99,229.99,149.99,,,,,,,,,,,,,,,,,,,
1/21/23,Saturday,,449.99,329.99,299.99,239.99,229.99,149.99,,,,,,,,,,,,,,,,,,,
1/22/23,Sunday,,449.99,329.99,299.99,239.99,208.99,149.99,,,,,,,,,,,,,,,,,,,
1/23/23,Monday,,449.99,299.99,279.99,229.99,219.99,134.99,,,,,,,,,,,,,,,,,,,
1/24/23,Tuesday,,449.99,299.99,279.99,229.99,219.99,134.99,,,,,,,,,,,,,,,,,,,
1/25/23,Wednesday,,449.99,299.99,279.99,229.99,219.99,134.99,,,,,,,,,,,,,,,,,,,
1/26/23,Thursday,,449.99,299.99,279.99,229.99,219.99,134.99,,,,,,,,,,,,,,,,,,,
1/27/23,Friday,,449.99,299.99,279.99,229.99,219.99,134.99,,,,,,,,,,,,,,,,,,,
1/28/23,Saturday,,399.99,299.99,279.99,229.99,219.99,134.99,,,,,,,,,,,,,,,,,,,
1/29/23,Sunday,,449.99,299.99,279.99,229.99,219.99,134.99,,,,,,,,,,,,,,,,,,,
1/30/23,Monday,,,,,,,,,,,,,,,,,,,,,,,,,,
1/31/23,Tuesday,,399.99,299.99,279.99,239.99,219.99,134.99,,,,,,,,,,,,,,,,,,,
2/1/23,Wednesday,,399.99,299.99,279.99,239.99,219.99,134.99,,,,,,,,,,,,,,,,,,,
2/2/23,Thursday,,399.99,299.99,279.99,239.99,219.99,134.99,,,,,,,,,,,,,,,,,,,
2/3/23,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,
2/4/23,Saturday,,399.99,299.99,279.99,239.99,219.99,134.99,,,,,,,,,,,,,,,,,,,
2/5/23,Sunday,,399.99,299.99,279.99,239.99,219.99,134.99,,,,,,,,,,,,,,,,,,,
2/6/23,Monday,,349.99,289.99,269.99,209.99,199.99,134.99,,,,,,,,,,,,,,,,,,,
2/7/23,Tuesday,,349.99,269.99,269.99,229.99,199.99,134.99,,,,,,,,,,,,,,,,,,,
2/8/23,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,
2/9/23,Thursday,,349.99,289.99,269.99,229.99,199.99,134.99,,,,,,,,,,,,,,,,,,,
2/10/23,Friday,,349.99,289.99,269.99,229.99,199.99,134.99,,,,,,,,,,,,,,,,,,,
2/11/23,Saturday,,349.99,289.99,269.99,229.99,199.99,134.99,,,,,,,,,,,,,,,,,,,
2/12/23,Sunday,,349.99,289.99,269.99,229.99,199.99,134.99,,,,,,,,,,,,,,,,,,,
2/13/23,Monday,,349.99,289.99,269.99,229.99,199.99,153.99,,,,,,,,,,,,,,,,,,,
2/14/23,Tuesday,,349.99,289.99,269.99,229.99,199.99,153.99,,,,,,,,,,,,,,,,,,,
2/15/23,Wednesday,,349.99,289.99,269.99,229.99,199.99,153.99,,,,,,,,,,,,,,,,,,,
2/16/23,Thursday,,349.99,289.99,269.99,229.99,199.99,153.99,,,,,,,,,,,,,,,,,,,
2/17/23,Friday,,349.99,289.99,269.99,229.99,199.99,153.99,,,,,,,,,,,,,,,,,,,
2/18/23,Saturday,,349.99,249.99,269.99,199.99,199.99,153.99,,,,,,,,,,,,,,,,,,,
2/19/23,Sunday,,349.99,249.99,269.99,199.99,199.99,139.99,,,,,,,,,,,,,,,,,,,
2/20/23,Monday,,349.99,249.99,269.99,199.99,199.99,149.99,,,,,,,,,,,,,,,,,,,
2/21/23,Tuesday,,349.99,289.99,269.99,219.99,199.99,149.99,,,,,,,,,,,,,,,,,,,
2/22/23,Wednesday,,349.99,289.99,269.99,219.99,199.99,149.99,,,,,,,,,,,,,,,,,,,
2/23/23,Thursday,,349.99,289.99,269.99,219.99,199.99,149.99,,,,,,,,,,,,,,,,,,,
2/24/23,Friday,,349.99,289.99,269.99,219.99,199.99,149.99,,,,,,,,,,,,,,,,,,,
2/25/23,Saturday,,349.99,289.99,249.99,219.99,199.99,149.99,,,,,,,,,,,,,,,,,,,
2/26/23,Sunday,,349.99,289.99,269.99,219.99,199.99,149.99,,,,,,,,,,,,,,,,,,,
2/27/23,Monday,,449.99,349.99,309.99,254.99,234.99,149.99,,,,,,,,,,,,,,,,,,,
2/28/23,Tuesday,,449.99,349.99,309.99,254.99,234.99,154.99,,,,,,,,,,,,,,,,,,,
3/1/23,Wednesday,,449.99,349.99,309.99,209.99,234.99,154.99,,,,,,,,,,,,,,,,,,,
3/2/23,Thursday,,449.99,269.99,309.99,254.99,234.99,154.99,,,,,,,,,,,,,,,,,,,
3/3/23,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,
3/4/23,Saturday,,449.99,349.99,309.99,254.99,234.99,154.99,,,,,,,,,,,,,,,,,,,
3/5/23,Sunday,,329.99,349.99,309.99,254.99,234.99,154.99,,,,,,,,,,,,,,,,,,,
3/6/23,Monday,,379.99,299.99,279.99,239.99,219.99,134.99,,,,,,,,,,,,,,,,,,,
3/7/23,Tuesday,,379.99,299.99,279.99,239.99,219.99,134.99,,,,,,,,,,,,,,,,,,,
3/8/23,Wednesday,,599.99,299.99,279.99,239.99,219.99,134.99,,,,,,,,,,,,,,,,,,,
3/9/23,Thursday,,379.99,299.99,279.99,239.99,219.99,134.99,,,,,,,,,,,,,,,,,,,
3/10/23,Friday,,379.99,299.99,279.99,239.99,219.99,134.99,,,,,,,,,,,,,,,,,,,
3/11/23,Saturday,,379.99,299.99,279.99,239.99,219.99,134.99,,,,,,,,,,,,,,,,,,,
3/12/23,Sunday,599.99,379.99,299.99,279.99,239.99,219.99,134.99,,,,,,,,,,,,,,,,,,,
3/13/23,Monday,599.99,379.99,299.99,279.99,209.99,199.99,134.99,,,,,,,,,,,,,,,,,,,
3/14/23,Tuesday,599.99,379.99,299.99,279.99,209.99,199.99,134.99,,,,,,,,,,,,,,,,,,,
3/15/23,Wednesday,599.99,379.99,299.99,279.99,209.99,199.99,134.99,,,,,,,,,,,,,,,,,,,
3/16/23,Thursday,599.99,379.99,299.99,279.99,209.99,199.99,127.99,,,,,,,,,,,,,,,,,,,
3/17/23,Friday,599.99,379.99,299.99,279.99,209.99,199.99,134.99,,,,,,,,,,,,,,,,,,,
3/18/23,Saturday,599.99,379.99,299.99,279.99,209.99,199.99,134.99,,,,,,,,,,,,,,,,,,,
3/19/23,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,
3/20/23,Monday,599.99,379.99,284.99,269.99,212.99,203.99,149.99,,,,,,,,,,,,,,,,,,,
3/21/23,Tuesday,599.99,379.99,284.99,269.99,212.99,203.99,149.99,,,,,,,,,,,,,,,,,,,
3/22/23,Wednesday,599.99,379.99,284.99,269.99,212.99,203.99,149.99,,,,,,,,,,,,,,,,,,,
3/23/23,Thursday,599.99,379.99,284.99,269.99,212.99,203.99,149.99,,,,,,,,,,,,,,,,,,,
3/24/23,Friday,599.99,379.99,284.99,269.99,212.99,203.99,149.99,,,,,,,,,,,,,,,,,,,
3/25/23,Saturday,,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/23,Sunday,599.99,379.99,284.99,269.99,212.99,203.99,149.99,,,,,,,,,,,,,,,,,,,
3/27/23,Monday,599.99,379.99,284.99,249.99,212.99,203.99,149.99,,,,,,,,,,,,,,,,,,,
3/28/23,Tuesday,599.99,379.99,284.99,244.99,212.99,204.99,139.99,,,,,,,,,,,,,,,,,,,
3/29/23,Wednesday,599.99,379.99,284.99,244.99,212.99,204.99,139.99,,,,,,,,,,,,,,,,,,,
3/30/23,Thursday,599.99,379.99,284.99,244.99,212.99,204.99,139.99,,,,,,,,,,,,,,,,,,,
3/31/23,Friday,599.99,329.99,249.99,244.99,199.99,189.99,139.99,,,,,,,,,,,,,,,,,,,
4/1/23,Saturday,599.99,379.99,284.99,244.99,212.99,204.99,139.99,,,,,,,,,,,,,,,,,,,
4/2/23,Sunday,599.99,379.99,284.99,244.99,212.99,204.99,139.99,,,,,,,,,,,,,,,,,,,
4/3/23,Monday,599.99,329.99,279.99,269.99,219.99,199.99,149.99,,,,,,,,,,,,,,,,,,,
4/4/23,Tuesday,549.99,379.99,279.99,269.99,219.99,199.99,149.99,,,,,,,,,,,,,,,,,,,
4/5/23,Wednesday,549.99,379.99,279.99,269.99,219.99,199.99,149.99,,,,,,,,,,,,,,,,,,,
4/6/23,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,
4/7/23,Friday,549.99,379.99,279.99,269.99,219.99,199.99,149.99,,,,,,,,,,,,,,,,,,,
4/8/23,Saturday,514.99,379.99,279.99,269.99,219.99,199.99,149.99,,,,,,,,,,,,,,,,,,,
4/9/23,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,
4/10/23,Monday,514.99,379.99,279.99,269.99,219.99,199.99,149.99,,,,,,,,,,,,,,,,,,,
4/11/23,Tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,
4/12/23,Wednesday,514.99,379.99,279.99,269.99,219.99,199.99,149.99,,,,,,,,,,,,,,,,,,,
4/13/23,Thursday,514.99,379.99,279.99,269.99,219.99,199.99,149.99,,,,,,,,,,,,,,,,,,,
4/14/23,Friday,514.99,379.99,279.99,269.99,219.99,199.99,149.99,,,,,,,,,,,,,,,,,,,
4/15/23,Saturday,514.99,379.99,279.99,269.99,219.99,199.99,149.99,,,,,,,,,,,,,,,,,,,
4/16/23,Sunday,514.99,379.99,279.99,269.99,219.99,199.99,149.99,,,,,,,,,,,,,,,,,,,
4/17/23,Monday,499.99,549.99,369.99,389.99,219.99,203.99,135.99,,,,,,,,,,,,,,,,,,,
4/18/23,Tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,
4/19/23,Wednesday,499.99,549.99,369.99,389.99,219.99,203.99,135.99,,,,,,,,,,,,,,,,,,,
4/20/23,Thursday,499.99,549.99,369.99,389.99,219.99,203.99,135.99,,,,,,,,,,,,,,,,,,,
